Name,Series,Form,Type,Capacity,Cache,Price/GB
Western Digital WD10PURZ,Purple,3.5",5400RPM,1TB,64MB,£0.044
Seagate ST3500630A,BarraCuda,3.5",7200RPM,500GB,16MB,
Western Digital WD2500LPVX,WD Blue,2.5",5400RPM,250GB,8MB,£0.346
Seagate ST3320418AS,Barracuda,3.5",7200RPM,320GB,16MB,£0.222
Western Digital WD3000GLFS,VelociRaptor,3.5",10000RPM,300GB,16MB,
Western Digital WD5003ABYZ,Re,3.5",7200RPM,500GB,64MB,£0.126
Seagate ST3500641AS-RK,Barracuda,3.5",7200RPM,500GB,16MB,
Western Digital WD2000F9YZ,WD SE,3.5",7200RPM,2TB,64MB,
Samsung HD502IJ,Spinpoint F1 DT,3.5",7200RPM,500GB,16MB,
Western Digital WDBMMA0020HNC-NRSN,,3.5",5400RPM,2TB,64MB,
Samsung HD204UI,Spinpoint F4,3.5",5400RPM,2TB,32MB,£0.069
Western Digital WD5000LPVT,Scorpio Blue,2.5",5400RPM,500GB,8MB,
Toshiba MG03ACA300,Product Series:MG03ACA,3.5",7200RPM,3TB,64MB,
Seagate STBD3000100,Barracuda,3.5",7200RPM,3TB,64MB,
Western Digital WD15EURS,AV-GP,3.5",5400RPM,1.5TB,64MB,£0.109
Western Digital WD10EARX,Caviar Green,3.5",5400RPM,1TB,64MB,£0.102
Western Digital WD15EZRX,Caviar Green,3.5",7200RPM,1.5TB,64MB,
Samsung HM250HI,Spinpoint M7,2.5",5400RPM,250GB,8MB,
Western Digital WD05PURX,Purple,3.5",5400RPM,500GB,64MB,£0.107
Seagate STBD4000400,,3.5",5900RPM,4TB,64MB,
Western Digital WD1600BEKX,BLACK SERIES,2.5",7200RPM,160GB,16MB,
Samsung HD502HJ/ST500DM005,Spinpoint F3,3.5",7200RPM,500GB,16MB,
Western Digital WD7500AADS,Caviar Green,3.5",5400RPM,750GB,32MB,
Seagate ST320005N4A1AS-RK,Barracuda,3.5",5900RPM,2TB,32MB,
Samsung HD103SI,Spinpoint F2 EG,3.5",5400RPM,1TB,32MB,
Seagate ST2000NM0014,,3.5",7200RPM,2TB,128MB,
Seagate ST3000VN0011,Enterprise NAS,3.5",7200RPM,3TB,128MB,
Western Digital WD800AAJS,Caviar Blue,3.5",7200RPM,80GB,8MB,
Hitachi HUS726040AL5210 (0F22795),Ultrastar 7K6000,3.5",7200RPM,4TB,128MB,
Western Digital WDBACN6000ANC-NRSN,VelociRaptor,3.5",10000RPM,600GB,32MB,
Seagate ST8000VN0022,IronWolf,3.5",7200RPM,8TB,256MB,£0.024
Western Digital WD5000LPLX,Black,2.5",7200RPM,500GB,32MB,£0.094
Western Digital WD100EFAX,Red,3.5",5400RPM,10TB,256MB,£0.030
Western Digital WD8003FRYZ,Gold,3.5",7200RPM,8TB,256MB,£0.032
Seagate ST2000NM0011,Constellation ES,3.5",7200RPM,2TB,64MB,£0.095
Hitachi 0S03563,Travelstar,2.5",7200RPM,1TB,32MB,
Seagate ST2000NM0033,Constellation ES.3,3.5",7200RPM,2TB,128MB,£0.068
Seagate ST3320311CS,Pipeline HD,3.5",5900RPM,320GB,8MB,
Hitachi HUS724040ALE640,Ultrastar 7K4000,3.5",7200RPM,4TB,64MB,£0.073
Seagate ST1000VN002,IronWolf,3.5",5900RPM,1TB,64MB,£0.052
Seagate ST8000DM005,BarraCuda Pro,3.5",7200RPM,8TB,256MB,£0.031
Western Digital WD80PUZX,Purple,3.5",5400RPM,8TB,128MB,£0.029
Hitachi 0S03839,Deskstar NAS,3.5",7200RPM,6TB,128MB,
Seagate ST33000650NS,Constellation ES,3.5",7200RPM,3TB,64MB,£0.076
Western Digital WD5000HHTZ,VelociRaptor,3.5",10000RPM,500GB,64MB,
Western Digital WD3200BPVT,Scorpio Blue,2.5",5400RPM,320GB,8MB,£0.115
Western Digital WD2503ABYX,RE4,3.5",7200RPM,250GB,64MB,£0.354
Western Digital WD5000LPVX,WD Blue,2.5",5400RPM,500GB,8MB,£0.082
Seagate ST3000NM0023,Constellation ES.3,3.5",7200RPM,3TB,128MB,£0.049
Hitachi 0A78743,,2.5",7200RPM,320GB,16MB,£0.155
Western Digital WD3200BEKT,Scorpio Black,2.5",7200RPM,320GB,16MB,
Seagate ST31000524AS,Barracuda,3.5",7200RPM,1TB,32MB,
Seagate ST8000NM0045,Enterprise ,3.5",7200RPM,8TB,256MB,£0.036
Western Digital WD4001FFSX,Red Pro,3.5",7200RPM,4TB,64MB,£0.045
Seagate ST31000340NS - FFP,Barracuda ES,3.5",7200RPM,1TB,32MB,£0.109
Western Digital WD1003FBYZ,Re,3.5",7200RPM,1TB,64MB,£0.114
Hitachi 0B28953,Ultrastar C15K600,2.5",15000RPM,600GB,128MB,£0.526
Hitachi 0J12281,Travelstar 7K750,2.5",7200RPM,500GB,16MB,£0.064
Western Digital WD3200AAKX,Caviar Blue,3.5",7200RPM,320GB,16MB,£0.123
Seagate ST3500410SV,SV35.5,3.5",5900RPM,500GB,16MB,£0.302
Western Digital WD5000BPVT,Scorpio Blue,2.5",5400RPM,500GB,8MB,£0.087
Western Digital WDBSLA0040HNC-NRSN,,3.5",7200RPM,4TB,32MB,
Hitachi HITACHI-0F12460,,3.5",5400RPM,3TB,32MB,
Seagate ST940818SM,EE25.2 Series,2.5",5400RPM,40GB,8MB,
Western Digital WD10PURX,WD Purple,3.5",5900RPM,1TB,64MB,£0.070
Western Digital WD100PURZ,Purple,3.5",5400RPM,10TB,256MB,£0.030
Seagate ST1000NM0011,Constellation ES,3.5",7200RPM,1TB,64MB,
Western Digital WD1600AVCS,AV-GP,3.5",5400RPM,160GB,16MB,
Seagate ST3000VX010,SkyHawk,3.5",5900RPM,3TB,64MB,£0.026
Seagate ST4000VM000,,3.5",5900RPM,4TB,64MB,£0.028
Western Digital WDBMMA0030HNC-NRSN,,3.5",5400RPM,3TB,64MB,
Seagate ST6000AS0002,Archive HDD v2,3.5",5900RPM,6TB,128MB,£0.032
Western Digital WD20EARX,Caviar Green,3.5",5400RPM,2TB,64MB,£0.058
Hitachi A7K2000,Ultrastar,3.5",7200RPM,500GB,32MB,
Seagate ST9500423AS,Momentus 7200.4,2.5",7200RPM,500GB,16MB,£0.286
Western Digital WDBSLA0010HNC-NRSN,,3.5",7200RPM,1TB,N/A,
Toshiba MQ01ABD100,,2.5",5400RPM,1TB,8MB,£0.045
Western Digital WD1600AVVS,AV-GP,3.5",5400RPM,160GB,8MB,
Seagate ST750LX003,Momentus XT,2.5",7200RPM,750GB,32MB,
Hitachi 0J26005,Travelstar Z7K500,2.5",7200RPM,500GB,32MB,£0.099
Western Digital WD20NPVT,Green,2.5",5400RPM,2TB,8MB,
