Manufacturer,Name,Clock Speed,Cores,Multi-threading,TDP
AMD,AMD Athlon X4 860K (OEM/Tray),3.7GHz,4,No,95Watts
AMD,AMD 5350,2.05GHz,4,No,25Watts
Intel,Intel Core i5-6402P,2.8GHz,4,No,65Watts
Intel,Intel Xeon E5-2697 V3,2.6GHz,14,Yes:Hyper-Threading,145Watts
Intel,Intel Xeon E5-1650 V2 (OEM/Tray),3.5GHz,6,Yes:Hyper-Threading,130Watts
Intel,Intel Core i5-650,3.2GHz,2,Yes:Hyper-Threading,73Watts
Intel,Intel Core i5-4590S,3.0GHz,4,No,65Watts
Intel,Intel Pentium G3220,3.0GHz,2,No,54Watts
AMD,AMD FX-9590 (OEM/Tray),4.7GHz,8,No,220Watts
Intel,Intel Celeron G3900 (OEM/Tray),2.8GHz,2,No,51Watts
AMD,AMD A8-7670K,3.6GHz,4,No,95Watts
Intel,Intel Xeon E3-1245 V6,3.7GHz,4,Yes:Hyper-Threading,73Watts
Intel,Intel Core i7-7820X (OEM/Tray),3.6GHz,8,Yes:Hyper-Threading,140Watts
AMD,AMD A6-6420K,4.0GHz,2,No,65Watts
Intel,Intel Xeon E3-1230 V5,3.4GHz,4,Yes:Hyper-Threading,80Watts
Intel,Intel Core i5-7400T,2.4GHz,4,No,35Watts
Intel,Intel Xeon E3-1275 V6,3.8GHz,4,Yes:Hyper-Threading,73Watts
Intel,Intel Xeon E3-1240 V6,3.7GHz,4,Yes:Hyper-Threading,72Watts
Intel,Intel Pentium G3250,3.2GHz,2,No,53Watts
Intel,Intel Celeron G530,2.4GHz,2,No,65Watts
